0 0 1/6 0 1/3 1/6 1/3 2/3 1 0
0 0 2/11 0 6/11 4/11 6/11 12/11 9/11 0
0 0 1/3 0 1/2 1/6 1/3 1/2 5/6 0
0 0 3/8 0 5/8 1/4 1/2 3/4 5/8 0
0 0 1/3 0 1/6 1/6 1/3 5/6 5/6 0
0 0 3/8 0 1/4 1/4 1/2 9/8 5/8 0
0 0 5/8 0 1/4 1/4 1/2 3/4 5/8 0
0 0 5/8 0 3/8 1/8 1/2 7/8 3/8 0
0 0 1/8 0 3/8 1/2 3/4 3/8 7/8 0
0 0 1/8 0 1/2 1/2 7/8 5/8 3/4 0
0 0 3/8 0 1/8 1/2 7/8 5/8 3/4 0
0 0 1/3 0 1/6 1/3 1 5/6 1/2 0
0 0 1/8 3/8 0 1/2 3/8 3/4 7/8 0
0 0 1/8 1/4 0 1/2 5/8 9/8 3/4 0
0 0 3/8 1/4 0 1/2 5/8 3/4 3/4 0
0 0 1/3 1/6 0 1/3 5/6 1 1/2 0
0 0 2/11 4/11 0 8/11 1 7/11 10/11 0
0 0 1/7 2/7 0 4/7 9/7 1 5/7 0
