0 0 0 2/5 3/10 3/10 19/20 9/10 3/2 0
0 0 0 4/9 2/9 5/9 17/18 1 4/3 0
0 0 0 4/9 5/9 2/9 17/18 1 4/3 0
0 0 0 6/11 4/11 4/11 19/22 12/11 13/11 0
0 0 0 2/7 4/7 4/7 1 4/7 9/7 0
0 0 0 3/8 3/8 3/4 1 3/4 5/4 0
0 0 0 3/8 3/4 3/8 1 3/4 5/4 0
0 0 0 5/11 6/11 6/11 10/11 10/11 12/11 0
0 0 1/4 0 1/4 1/2 1 3/4 11/8 0
0 0 1/6 0 1/6 2/3 1 1 4/3 0
0 0 1/6 0 1/2 1/3 1 1 4/3 0
0 0 1/6 0 1/3 1/2 1 7/6 4/3 0
0 0 3/8 0 3/8 3/4 7/8 3/8 1 0
0 0 2/7 0 2/7 6/7 6/7 4/7 1 0
0 0 2/7 0 4/7 4/7 6/7 4/7 1 0
0 0 1/4 0 1/2 3/4 7/8 3/4 1 0
