0 0 0 7/16 7/8 17/16 3/2 83/48 2 39/16 23/8 29/8 0
0 0 0 2/5 4/5 17/15 23/15 9/5 2 13/5 3 56/15 0
0 0 0 3/7 6/7 5/7 8/7 53/42 23/14 23/14 16/7 19/7 0
0 0 0 5/13 10/13 10/13 15/13 17/13 21/13 23/13 31/13 36/13 0
0 0 0 3/7 6/7 5/7 8/7 53/42 23/14 13/7 29/14 19/7 0
0 0 0 5/13 10/13 10/13 15/13 17/13 21/13 2 28/13 36/13 0
0 0 0 3/7 6/7 4/7 1 22/21 3/2 10/7 13/7 16/7 0
0 0 0 2/5 4/5 3/5 1 16/15 22/15 23/15 29/15 34/15 0
0 0 0 5/13 10/13 14/13 37/26 62/39 25/13 31/13 33/13 44/13 0
0 0 0 1/3 2/3 7/6 35/24 5/3 23/12 31/12 8/3 7/2 0
0 0 0 5/13 10/13 10/13 29/26 47/39 21/13 24/13 25/13 34/13 0
0 0 0 1/3 2/3 5/6 9/8 5/4 19/12 2 2 8/3 0
0 0 0 5/13 10/13 14/13 20/13 5/3 2 29/13 38/13 46/13 0
0 0 0 1/3 2/3 7/6 19/12 7/4 2 29/12 37/12 11/3 0
0 0 0 5/13 10/13 10/13 16/13 50/39 22/13 21/13 31/13 36/13 0
0 0 0 1/3 2/3 5/6 5/4 4/3 5/3 7/4 5/2 17/6 0
0 0 0 1/3 2/3 1 11/8 53/36 11/6 25/12 5/2 19/6 0
0 0 0 3/11 6/11 12/11 31/22 17/11 20/11 25/11 29/11 36/11 0
0 0 0 10/21 20/21 19/21 101/63 5/3 40/21 137/63 184/63 218/63 0
0 0 0 5/11 10/11 10/11 5/3 56/33 41/22 149/66 101/33 115/33 0
0 0 0 8/17 16/17 11/17 4/3 22/17 28/17 77/51 127/51 140/51 0
0 0 0 4/9 8/9 2/3 77/54 73/54 29/18 89/54 145/54 76/27 0
0 0 0 8/17 16/17 11/17 65/51 22/17 28/17 92/51 112/51 140/51 0
0 0 0 4/9 8/9 2/3 37/27 73/54 29/18 52/27 65/27 76/27 0
0 0 0 7/15 14/15 8/15 10/9 16/15 23/15 62/45 88/45 104/45 0
0 0 0 4/9 8/9 5/9 65/54 61/54 3/2 83/54 59/27 64/27 0
0 0 0 3/7 6/7 1 12/7 71/42 2 29/14 22/7 25/7 0
0 0 0 5/13 10/13 14/13 23/13 23/13 2 29/13 43/13 48/13 0
0 0 0 3/7 6/7 5/7 10/7 4/3 12/7 3/2 37/14 20/7 0
0 0 0 5/13 10/13 10/13 19/13 18/13 22/13 21/13 36/13 38/13 0
0 0 0 7/15 14/15 8/15 23/18 16/15 23/15 53/45 97/45 104/45 0
0 0 0 4/9 8/9 5/9 151/108 61/54 3/2 71/54 65/27 64/27 0
0 0 0 7/15 14/15 8/15 103/90 1 23/15 56/45 17/9 98/45 0
0 0 0 5/11 10/11 6/11 169/132 35/33 3/2 46/33 145/66 73/33 0
0 0 0 3/7 6/7 4/7 37/28 47/42 11/7 17/14 16/7 17/7 0
0 0 0 2/5 4/5 3/5 41/30 17/15 23/15 19/15 12/5 12/5 0
0 0 0 10/21 20/21 71/63 29/21 5/3 40/21 22/9 167/63 218/63 0
0 0 0 5/11 10/11 40/33 15/11 56/33 41/22 86/33 179/66 115/33 0
0 0 0 8/17 16/17 41/51 19/17 22/17 28/17 88/51 116/51 140/51 0
0 0 0 4/9 8/9 25/27 10/9 73/54 29/18 53/27 64/27 76/27 0
0 0 0 8/17 16/17 44/51 19/17 22/17 28/17 103/51 101/51 140/51 0
0 0 0 4/9 8/9 53/54 10/9 73/54 29/18 121/54 113/54 76/27 0
0 0 0 7/15 14/15 29/45 1 16/15 23/15 67/45 83/45 104/45 0
0 0 0 4/9 8/9 41/54 1 61/54 3/2 47/27 107/54 64/27 0
0 0 0 3/7 6/7 17/14 39/28 34/21 27/14 18/7 17/7 24/7 0
0 0 0 5/13 10/13 17/13 37/26 22/13 25/13 36/13 33/13 46/13 0
0 0 0 3/7 6/7 13/14 31/28 53/42 23/14 29/14 13/7 19/7 0
0 0 0 5/13 10/13 1 29/26 17/13 21/13 29/13 25/13 36/13 0
0 0 0 1/2 1 29/30 22/15 167/105 51/28 76/35 187/70 344/105 0
0 0 0 16/33 32/33 511/495 751/495 793/495 58/33 128/55 464/165 1616/495 0
0 0 0 1/2 1 241/330 421/330 214/165 18/11 87/55 12/5 448/165 0
0 0 0 13/27 26/27 346/405 556/405 553/405 43/27 254/135 118/45 1136/405 0
0 0 0 1/2 1 128/165 203/165 214/165 18/11 19/10 229/110 448/165 0
0 0 0 13/27 26/27 361/405 541/405 553/405 43/27 289/135 319/135 1136/405 0
0 0 0 1/2 1 83/135 301/270 293/270 14/9 43/30 29/15 313/135 0
0 0 0 12/25 24/25 286/375 466/375 448/375 38/25 224/125 284/125 926/375 0
0 0 0 1/2 1 47/80 617/480 43/40 25/16 73/60 32/15 139/60 0
0 0 0 10/21 20/21 24/35 131/90 368/315 32/21 472/315 782/315 766/315 0
0 0 0 1/2 1 47/80 557/480 81/80 25/16 307/240 113/60 263/120 0
0 0 0 12/25 24/25 82/125 1007/750 413/375 38/25 577/375 857/375 856/375 0
0 0 0 7/15 14/15 73/90 1 16/15 23/15 76/45 74/45 104/45 0
0 0 0 4/9 8/9 103/108 1 61/54 3/2 53/27 95/54 64/27 0
0 0 0 7/15 14/15 61/90 1 1 23/15 64/45 77/45 98/45 0
0 0 0 5/11 10/11 109/132 1 35/33 3/2 115/66 61/33 73/33 0
0 0 0 3/7 6/7 23/28 27/28 22/21 3/2 12/7 11/7 16/7 0
0 0 0 2/5 4/5 9/10 29/30 16/15 22/15 28/15 8/5 34/15 0
0 0 0 1/2 1 377/480 87/80 43/40 25/16 49/30 103/60 139/60 0
