0 0 7/16 0 7/8 1/2 3/2 7/6 23/16 21/16 37/16 5/2 0
0 0 2/5 0 4/5 7/15 23/15 17/15 4/3 19/15 7/3 12/5 0
0 0 3/7 0 6/7 1/2 8/7 22/21 10/7 17/14 29/14 16/7 0
0 0 5/13 0 10/13 6/13 15/13 1 17/13 15/13 27/13 28/13 0
0 0 3/7 0 6/7 1/2 8/7 22/21 10/7 10/7 13/7 16/7 0
0 0 5/13 0 10/13 6/13 15/13 1 17/13 18/13 24/13 28/13 0
0 0 3/7 0 6/7 1/2 1 41/42 10/7 9/7 25/14 15/7 0
0 0 2/5 0 4/5 7/15 1 14/15 4/3 19/15 9/5 2 0
0 0 5/14 0 5/7 1/2 10/7 85/84 37/28 5/4 27/14 31/14 0
0 0 4/13 0 8/13 6/13 19/13 25/26 31/26 31/26 25/13 27/13 0
0 0 5/14 0 5/7 1/2 8/7 79/84 37/28 37/28 23/14 29/14 0
0 0 4/13 0 8/13 6/13 15/13 23/26 31/26 33/26 21/13 25/13 0
0 0 5/13 0 10/13 6/13 19/13 79/78 35/26 1 57/26 29/13 0
0 0 1/3 0 2/3 5/12 3/2 23/24 29/24 11/12 53/24 25/12 0
0 0 5/13 0 10/13 6/13 15/13 73/78 35/26 1 51/26 27/13 0
0 0 1/3 0 2/3 5/12 7/6 7/8 29/24 11/12 47/24 23/12 0
0 0 2/7 0 4/7 3/7 9/7 6/7 7/6 27/28 7/4 40/21 0
0 0 3/13 0 6/13 5/13 17/13 31/39 40/39 23/26 45/26 68/39 0
0 0 10/21 0 20/21 44/63 29/21 26/21 31/21 100/63 20/9 164/63 0
0 0 5/11 0 10/11 25/33 15/11 41/33 31/22 56/33 149/66 85/33 0
0 0 8/17 0 16/17 32/51 19/17 19/17 25/17 70/51 107/51 122/51 0
0 0 4/9 0 8/9 19/27 10/9 61/54 25/18 41/27 58/27 64/27 0
0 0 8/17 0 16/17 35/51 19/17 19/17 25/17 5/3 92/51 122/51 0
0 0 4/9 0 8/9 41/54 10/9 61/54 25/18 97/54 101/54 64/27 0
0 0 7/15 0 14/15 26/45 1 1 22/15 61/45 16/9 98/45 0
0 0 4/9 0 8/9 35/54 1 55/54 25/18 41/27 101/54 58/27 0
0 0 3/7 0 6/7 5/7 10/7 47/42 10/7 11/7 27/14 17/7 0
0 0 5/13 0 10/13 9/13 19/13 14/13 17/13 20/13 25/13 30/13 0
0 0 3/7 0 6/7 5/7 8/7 22/21 10/7 23/14 23/14 16/7 0
0 0 5/13 0 10/13 9/13 15/13 1 17/13 21/13 21/13 28/13 0
0 0 7/15 0 14/15 67/90 1 1 22/15 14/9 71/45 98/45 0
0 0 4/9 0 8/9 91/108 1 55/54 25/18 47/27 89/54 58/27 0
0 0 7/15 0 14/15 11/18 1 14/15 22/15 58/45 74/45 92/45 0
0 0 5/11 0 10/11 97/132 1 32/33 31/22 103/66 58/33 67/33 0
0 0 3/7 0 6/7 3/4 1 41/42 10/7 11/7 3/2 15/7 0
0 0 2/5 0 4/5 23/30 1 14/15 4/3 8/5 22/15 2 0
0 0 5/17 0 15/17 11/17 65/34 20/17 53/34 3/2 75/34 44/17 0
0 0 4/15 0 4/5 3/5 59/30 17/15 43/30 43/30 67/30 37/15 0
0 0 5/17 0 15/17 11/17 53/34 37/34 53/34 27/17 63/34 41/17 0
0 0 4/15 0 4/5 3/5 47/30 31/30 43/30 23/15 11/6 34/15 0
0 0 4/15 0 4/5 3/5 53/30 46/45 131/90 37/30 61/30 104/45 0
0 0 3/13 0 9/13 7/13 47/26 37/39 101/78 29/26 53/26 83/39 0
0 0 6/19 0 18/19 16/19 71/38 49/38 31/19 35/19 83/38 53/19 0
0 0 5/17 0 15/17 14/17 65/34 43/34 26/17 31/17 75/34 46/17 0
0 0 6/19 0 18/19 16/19 59/38 23/19 31/19 73/38 71/38 50/19 0
0 0 5/17 0 15/17 14/17 53/34 20/17 26/17 65/34 63/34 43/17 0
0 0 6/19 0 18/19 67/76 53/38 43/38 31/19 35/19 65/38 47/19 0
0 0 3/10 0 9/10 73/80 11/8 11/10 31/20 19/10 67/40 47/20 0
0 0 7/22 0 21/22 7/22 85/44 59/44 18/11 14/11 127/44 63/22 0
0 0 3/10 0 9/10 3/10 79/40 53/40 31/20 5/4 117/40 14/5 0
0 0 6/19 0 18/19 6/19 59/38 23/19 31/19 22/19 50/19 50/19 0
0 0 5/17 0 15/17 5/17 53/34 20/17 26/17 19/17 45/17 43/17 0
0 0 6/19 0 18/19 6/19 59/38 23/19 31/19 53/38 91/38 50/19 0
0 0 5/17 0 15/17 5/17 53/34 20/17 26/17 47/34 81/34 43/17 0
0 0 6/19 0 18/19 6/19 53/38 43/38 31/19 47/38 44/19 47/19 0
0 0 3/10 0 9/10 3/10 11/8 11/10 31/20 5/4 93/40 47/20 0
0 0 5/17 0 15/17 5/17 65/34 20/17 53/34 39/34 87/34 44/17 0
