0 0 0 6/19 12/19 1 23/19 22/19 34/19 49/19 20/19 50/19 0
0 0 0 5/17 10/17 16/17 19/17 1 29/17 44/17 21/17 43/17 0
0 0 0 3/13 6/13 11/13 14/13 17/13 21/13 29/13 15/13 33/13 0
0 0 0 2/11 4/11 8/11 10/11 12/11 15/11 2 13/11 24/11 0
0 0 0 4/15 8/15 19/15 3/2 49/30 32/15 46/15 13/10 46/15 0
0 0 0 3/14 3/7 17/14 39/28 41/28 55/28 83/28 37/28 39/14 0
0 0 0 1/6 1/3 5/6 1 3/2 7/4 25/12 19/12 3 0
0 0 0 1/9 2/9 2/3 7/9 11/9 13/9 16/9 5/3 23/9 0
0 0 0 1/5 2/5 19/15 43/30 53/30 20/9 44/15 49/30 17/5 0
0 0 0 2/13 4/13 16/13 35/26 41/26 161/78 75/26 43/26 40/13 0
0 0 0 3/13 6/13 10/13 1 18/13 20/13 27/13 17/13 34/13 0
0 0 0 2/11 4/11 7/11 9/11 13/11 14/11 20/11 15/11 25/11 0
0 0 0 1/6 1/3 3/4 11/12 19/12 5/3 23/12 7/4 37/12 0
0 0 0 1/9 2/9 5/9 2/3 4/3 4/3 14/9 17/9 8/3 0
0 0 0 2/13 4/13 8/13 10/13 20/13 20/13 21/13 47/26 3 0
0 0 0 1/9 2/9 4/9 5/9 4/3 23/18 4/3 2 8/3 0
0 0 0 4/15 8/15 13/15 16/15 14/15 23/15 7/3 19/15 34/15 0
0 0 0 2/11 4/11 8/11 10/11 1 14/11 21/11 13/11 2 0
0 0 0 1/5 2/5 6/5 41/30 4/3 11/6 17/6 19/15 38/15 0
0 0 0 1/9 2/9 2/3 7/9 10/9 4/3 5/3 5/3 7/3 0
0 0 0 1/7 2/7 17/14 37/28 10/7 23/12 11/4 11/7 39/14 0
0 0 0 2/11 4/11 7/11 9/11 12/11 13/11 19/11 15/11 23/11 0
0 0 0 1/9 2/9 5/9 2/3 11/9 11/9 13/9 17/9 22/9 0
0 0 0 1/9 2/9 4/9 5/9 11/9 7/6 11/9 2 22/9 0
0 0 0 7/17 14/17 22/17 20/17 19/17 31/17 45/17 13/17 41/17 0
0 0 0 7/18 7/9 11/9 1 1 31/18 23/9 1 41/18 0
0 0 0 1/3 2/3 7/6 1 7/6 19/12 9/4 3/4 13/6 0
0 0 0 4/13 8/13 14/13 10/13 1 18/13 2 11/13 24/13 0
0 0 0 5/13 10/13 21/13 19/13 20/13 28/13 41/13 12/13 36/13 0
0 0 0 6/17 12/17 29/17 23/17 24/17 71/34 109/34 1 43/17 0
0 0 0 1/4 1/2 13/12 11/12 4/3 5/3 25/12 7/6 31/12 0
0 0 0 1/4 1/2 1 2/3 13/12 17/12 11/6 7/6 25/12 0
0 0 0 2/7 4/7 3/2 19/14 23/14 13/6 41/14 9/7 43/14 0
0 0 0 5/17 10/17 28/17 22/17 25/17 215/102 105/34 21/17 46/17 0
0 0 0 1/3 2/3 13/12 11/12 5/4 3/2 25/12 11/12 9/4 0
0 0 0 4/13 8/13 1 9/13 14/13 17/13 24/13 1 25/13 0
0 0 0 1/4 1/2 1 5/6 17/12 19/12 23/12 4/3 8/3 0
0 0 0 1/4 1/2 11/12 7/12 7/6 4/3 5/3 4/3 13/6 0
0 0 0 3/13 6/13 11/13 9/13 18/13 19/13 21/13 37/26 34/13 0
0 0 0 1/4 1/2 5/6 1/2 7/6 31/24 3/2 17/12 13/6 0
0 0 0 5/14 5/7 8/7 1 13/14 11/7 33/14 8/7 29/14 0
0 0 0 3/11 6/11 1 9/11 10/11 14/11 21/11 1 19/11 0
0 0 0 5/16 5/8 27/16 23/16 43/32 65/32 103/32 35/32 39/16 0
0 0 0 1/5 2/5 9/10 7/10 1 13/10 17/10 7/5 2 0
0 0 0 1/4 1/2 13/8 11/8 45/32 197/96 99/32 43/32 21/8 0
0 0 0 3/11 6/11 10/11 8/11 1 13/11 19/11 13/11 20/11 0
0 0 0 1/5 2/5 4/5 3/5 11/10 6/5 3/2 8/5 21/10 0
