0 0 6/13 0 7/13 4/13 14/13 11/13 10/13 2 55/26 0
0 0 5/12 0 1/2 1/3 11/12 17/24 5/6 41/24 5/3 0
0 0 3/7 0 4/7 2/7 11/14 5/7 11/14 51/28 3/2 0
0 0 10/17 0 11/17 6/17 37/34 5/6 29/34 30/17 199/102 0
0 0 8/15 0 3/5 2/5 29/30 34/45 29/30 47/30 74/45 0
0 0 3/10 0 1/2 3/10 6/5 4/5 7/10 11/5 23/10 0
0 0 3/11 0 6/11 3/11 1 6/11 7/11 20/11 18/11 0
0 0 2/9 0 5/9 2/9 8/9 5/9 5/9 16/9 4/3 0
0 0 2/9 0 2/3 2/9 17/18 5/9 5/9 16/9 11/9 0
0 0 1/5 0 3/5 1/5 7/5 9/10 1/2 27/10 13/5 0
0 0 1/8 0 5/8 1/8 9/8 5/8 3/8 9/4 15/8 0
0 0 1/8 0 5/8 1/8 1 5/8 3/8 17/8 13/8 0
0 0 1/8 0 3/4 1/8 17/16 5/8 3/8 17/8 3/2 0
0 0 7/10 4/5 0 7/10 1 13/10 17/10 8/5 43/20 0
0 0 2/3 7/9 0 2/3 8/9 7/6 5/3 25/18 16/9 0
0 0 7/11 9/11 0 8/11 9/11 14/11 20/11 35/22 20/11 0
0 0 5/6 11/12 0 5/6 13/12 103/72 47/24 3/2 157/72 0
0 0 4/5 9/10 0 4/5 1 4/3 39/20 27/20 28/15 0
0 0 1/2 3/4 0 5/8 1 9/8 3/2 13/8 17/8 0
0 0 4/9 7/9 0 2/3 8/9 1 14/9 13/9 16/9 0
0 0 3/8 3/4 0 5/8 3/4 1 3/2 11/8 3/2 0
0 0 3/8 7/8 0 3/4 13/16 9/8 7/4 11/8 3/2 0
0 0 1/3 7/9 0 2/3 11/9 4/3 14/9 20/9 8/3 0
0 0 1/4 3/4 0 5/8 1 9/8 3/2 15/8 17/8 0
0 0 1/4 3/4 0 5/8 7/8 9/8 3/2 7/4 15/8 0
0 0 1/4 7/8 0 3/4 15/16 5/4 7/4 7/4 15/8 0
0 0 4/5 9/10 0 7/10 1 6/5 3/2 7/5 19/10 0
0 0 3/4 7/8 0 11/16 7/8 17/16 3/2 19/16 3/2 0
0 0 2/3 8/9 0 13/18 7/9 10/9 14/9 23/18 13/9 0
0 0 10/11 1 0 9/11 12/11 4/3 19/11 15/11 65/33 0
0 0 7/8 1 0 13/16 1 59/48 7/4 19/16 19/12 0
0 0 2/3 8/9 0 2/3 1 10/9 13/9 13/9 35/18 0
0 0 5/9 8/9 0 13/18 8/9 1 14/9 4/3 5/3 0
0 0 1/2 7/8 0 11/16 3/4 1 3/2 5/4 11/8 0
0 0 1/2 1 0 13/16 13/16 9/8 7/4 5/4 11/8 0
0 0 1/2 9/10 0 7/10 6/5 13/10 3/2 2 49/20 0
0 0 3/8 7/8 0 11/16 1 9/8 3/2 7/4 2 0
0 0 3/8 7/8 0 11/16 7/8 9/8 3/2 13/8 7/4 0
0 0 3/8 1 0 13/16 15/16 5/4 7/4 13/8 7/4 0
