0 0 0 1/10 4/5 17/10 12/5 13/5 109/30 53/10 343/60 0
0 0 0 1/8 5/8 5/4 7/4 2 11/4 17/4 35/8 0
0 0 0 1/9 2/3 14/9 20/9 22/9 29/9 43/9 31/6 0
0 0 0 1/8 1/2 9/8 13/8 15/8 19/8 15/4 31/8 0
0 0 0 1/8 1/2 11/8 31/16 35/16 23/8 33/8 9/2 0
0 0 0 1/8 3/8 1 23/16 27/16 17/8 13/4 27/8 0
0 0 0 1/8 7/8 7/4 39/16 11/4 11/3 5 271/48 0
0 0 0 1/8 3/4 13/8 37/16 21/8 27/8 19/4 85/16 0
0 0 0 1/8 5/8 3/2 17/8 39/16 25/8 35/8 39/8 0
0 0 0 1/8 3/4 3/2 19/8 21/8 25/8 5 85/16 0
0 0 0 1/8 5/8 5/4 2 9/4 21/8 35/8 9/2 0
0 0 0 1/8 3/4 3/2 37/16 21/8 25/8 19/4 83/16 0
0 0 0 7/15 13/15 8/5 37/15 38/15 7/2 79/15 167/30 0
0 0 0 5/11 8/11 13/11 21/11 2 59/22 48/11 48/11 0
0 0 0 4/11 8/11 18/11 27/11 28/11 37/11 56/11 119/22 0
0 0 0 1/3 5/9 10/9 16/9 17/9 7/3 35/9 35/9 0
0 0 0 1/3 5/9 14/9 41/18 43/18 29/9 14/3 5 0
0 0 0 1/4 3/8 1 25/16 27/16 17/8 27/8 27/8 0
0 0 0 1/4 3/4 11/8 19/8 5/2 23/8 39/8 81/16 0
0 0 0 1/4 5/8 9/8 2 17/8 19/8 17/4 17/4 0
0 0 0 5/8 3/4 1 27/16 15/8 35/16 7/2 7/2 0
0 0 0 1/2 5/8 1 27/16 15/8 17/8 7/2 7/2 0
0 0 0 3/8 1/2 1 13/8 29/16 17/8 27/8 27/8 0
0 0 0 3/8 5/8 1 29/16 2 17/8 15/4 15/4 0
0 0 0 6/19 13/19 28/19 275/114 42/19 123/38 201/38 201/38 0
0 0 0 2/7 4/7 8/7 57/28 25/14 73/28 19/4 31/7 0
0 0 0 3/14 4/7 11/7 209/84 16/7 45/14 149/28 149/28 0
0 0 0 2/11 5/11 13/11 45/22 20/11 27/11 101/22 47/11 0
0 0 0 1/5 2/5 3/2 67/30 43/20 31/10 93/20 24/5 0
0 0 0 1/8 1/4 1 13/8 25/16 17/8 57/16 27/8 0
0 0 0 1/8 3/4 3/2 11/4 21/8 25/8 23/4 91/16 0
0 0 0 1/8 5/8 5/4 19/8 9/4 21/8 41/8 39/8 0
0 0 0 1/11 10/11 89/44 29/11 31/11 25/6 6 851/132 0
0 0 0 1/8 3/4 13/8 2 9/4 27/8 41/8 21/4 0
0 0 0 1/8 1 65/32 43/16 3 197/48 11/2 599/96 0
0 0 0 10/19 18/19 409/228 48/19 49/19 215/57 106/19 447/76 0
0 0 0 7/13 11/13 58/39 27/13 28/13 19/6 5 5 0
0 0 0 3/4 7/8 7/6 29/16 2 115/48 15/4 15/4 0
0 0 0 1/3 2/3 505/324 188/81 53/27 266/81 146/27 21/4 0
0 0 0 6/19 11/19 4/3 39/19 31/19 325/114 98/19 89/19 0
