0 0 0 3/17 6/17 4/17 9/17 1 37/34 23/17 36/17 0
0 0 0 3/14 2/7 3/14 1/2 15/14 13/14 19/14 27/14 0
0 0 0 2/7 3/14 3/14 3/7 8/7 25/28 9/7 23/14 0
0 0 0 2/13 6/13 1/13 7/13 14/13 21/26 18/13 22/13 0
0 0 0 1/6 5/12 1/12 1/2 7/6 3/4 17/12 5/3 0
0 0 0 3/16 5/16 3/16 1/2 23/16 27/32 3/2 25/16 0
0 0 0 2/7 3/14 5/14 6/7 11/14 1 19/14 15/7 0
0 0 0 6/17 3/17 6/17 29/34 31/34 15/17 23/17 69/34 0
0 0 0 6/13 2/13 4/13 17/26 27/26 10/13 15/13 3/2 0
0 0 0 3/14 2/7 2/7 13/14 6/7 13/14 41/28 29/14 0
0 0 0 6/19 4/19 6/19 37/38 39/38 16/19 29/19 77/38 0
0 0 0 7/20 1/5 3/10 33/40 61/40 4/5 13/8 67/40 0
0 0 0 5/12 1/6 1/3 5/6 2/3 11/12 13/12 5/3 0
0 0 0 1/2 1/7 5/14 25/28 23/28 6/7 8/7 47/28 0
0 0 0 1/2 1/8 3/8 25/32 31/32 7/8 9/8 49/32 0
0 0 0 2/7 3/14 5/14 27/28 11/14 1 37/28 13/7 0
0 0 0 7/18 1/6 7/18 19/18 35/36 17/18 13/9 23/12 0
0 0 0 5/13 2/13 5/13 12/13 75/52 12/13 83/52 89/52 0
0 0 0 2/13 6/13 6/13 7/13 10/13 31/26 15/13 27/13 0
0 0 0 1/8 3/4 1/4 3/8 7/8 11/16 17/16 5/4 0
0 0 0 3/14 2/7 4/7 13/14 9/14 17/14 19/14 33/14 0
0 0 0 1/6 5/12 1/2 1 3/4 13/12 3/2 9/4 0
0 0 0 2/7 3/14 4/7 27/28 1/2 17/14 33/28 29/14 0
0 0 0 3/14 2/7 4/7 15/14 9/14 17/14 39/28 15/7 0
0 0 0 1/7 1/2 11/28 2/7 29/28 31/28 33/28 55/28 0
0 0 0 1/6 5/12 3/8 1/4 25/24 11/12 9/8 41/24 0
0 0 0 3/14 2/7 11/28 3/14 5/4 27/28 5/4 45/28 0
0 0 0 1/8 7/8 3/16 1/8 19/16 9/16 9/8 17/16 0
0 0 0 1/8 3/4 3/16 1/8 19/16 1/2 9/8 17/16 0
0 0 0 2/13 6/13 9/26 3/13 41/26 21/26 19/13 35/26 0
0 0 0 1/8 9/16 53/96 3/8 29/32 121/96 37/32 67/32 0
0 0 0 1/9 8/9 17/54 2/9 19/18 37/54 10/9 7/6 0
0 0 5/19 0 5/19 9/19 18/19 22/19 65/38 35/19 61/19 0
0 0 3/14 0 3/14 3/7 6/7 9/7 10/7 25/14 20/7 0
0 0 1/6 0 1/6 5/12 3/4 17/12 35/24 5/3 31/12 0
0 0 5/16 0 5/16 3/8 1 19/16 45/32 29/16 43/16 0
0 0 2/7 0 2/7 5/14 13/14 9/7 9/7 25/14 18/7 0
0 0 4/17 0 4/17 7/17 15/17 28/17 45/34 31/17 39/17 0
0 0 1/6 0 1/6 7/12 7/6 11/12 17/12 19/12 35/12 0
0 0 2/13 0 2/13 8/13 15/13 14/13 18/13 21/13 38/13 0
0 0 1/8 0 1/8 5/8 1 5/4 11/8 5/4 19/8 0
0 0 3/14 0 3/14 1/2 17/14 13/14 9/7 45/28 37/14 0
0 0 3/16 0 3/16 9/16 5/4 9/8 21/16 55/32 11/4 0
0 0 3/16 0 3/16 9/16 9/8 7/4 21/16 29/16 37/16 0
0 0 1/8 0 1/8 5/8 19/16 7/8 3/2 19/16 5/2 0
0 0 1/8 0 1/8 3/4 21/16 9/8 13/8 21/16 11/4 0
0 0 1/9 0 1/9 7/9 11/9 23/18 5/3 4/3 8/3 0
0 0 1/6 0 1/6 7/12 5/4 11/12 17/12 17/12 29/12 0
0 0 2/13 0 2/13 9/13 18/13 15/13 20/13 21/13 35/13 0
0 0 3/19 0 3/19 13/19 24/19 67/38 29/19 36/19 48/19 0
0 0 9/20 0 1/4 4/5 13/10 13/20 2 17/10 69/20 0
0 0 9/16 0 5/16 3/4 11/8 5/8 27/16 13/8 23/8 0
0 0 5/16 0 3/16 7/8 23/16 5/8 29/16 27/16 53/16 0
0 0 7/17 0 4/17 14/17 26/17 11/17 29/17 59/34 53/17 0
0 0 3/13 0 2/13 12/13 19/13 7/13 25/13 19/13 40/13 0
0 0 5/16 0 3/16 7/8 49/32 5/8 29/16 51/32 47/16 0
0 0 1/3 0 1/3 25/36 8/9 5/4 23/12 23/12 121/36 0
0 0 2/7 0 2/7 19/28 11/14 37/28 23/14 51/28 83/28 0
0 0 3/14 0 3/14 19/28 9/14 43/28 47/28 51/28 11/4 0
0 0 6/13 0 6/13 17/26 1 35/26 43/26 2 75/26 0
0 0 5/12 0 5/12 5/8 11/12 11/8 3/2 23/12 65/24 0
0 0 5/16 0 5/16 21/32 13/16 57/32 49/32 2 79/32 0
0 0 6/13 0 4/13 145/156 31/26 3/4 83/39 7/4 183/52 0
0 0 11/19 0 7/19 97/114 25/19 29/38 103/57 67/38 113/38 0
