0 0 4/17 7/17 0 11/17 18/17 37/17 14/17 38/17 44/17 0
0 0 3/14 5/14 0 4/7 13/14 2 11/14 25/14 2 0
0 0 2/11 3/11 0 5/11 8/11 19/11 8/11 35/22 17/11 0
0 0 5/18 7/18 0 5/6 35/36 2 1 31/18 41/18 0
0 0 3/17 6/17 0 9/17 19/17 42/17 10/17 39/17 42/17 0
0 0 2/13 4/13 0 6/13 1 30/13 7/13 23/13 23/13 0
0 0 1/9 2/9 0 1/3 7/9 2 4/9 3/2 10/9 0
0 0 1/9 2/9 0 1/3 8/9 7/3 4/9 29/18 1 0
0 0 5/11 4/11 0 4/11 9/11 19/11 7/11 19/11 21/11 0
0 0 2/5 3/10 0 3/10 7/10 8/5 3/5 7/5 3/2 0
0 0 1/3 2/9 0 2/9 5/9 13/9 5/9 23/18 11/9 0
0 0 5/11 4/11 0 4/11 9/11 19/11 8/11 16/11 18/11 0
0 0 1/3 1/4 0 1/4 5/6 2 1/3 7/4 7/4 0
0 0 3/10 1/5 0 1/5 7/10 9/5 3/10 13/10 6/5 0
0 0 1/4 1/8 0 1/8 1/2 3/2 1/4 17/16 3/4 0
0 0 1/4 1/8 0 1/8 5/8 15/8 1/4 19/16 5/8 0
0 0 3/16 9/16 0 3/8 21/16 49/16 3/8 41/16 5/2 0
0 0 1/6 1/2 0 1/3 7/6 17/6 1/3 23/12 5/3 0
0 0 1/8 3/8 0 1/4 7/8 19/8 1/4 25/16 7/8 0
0 0 1/8 3/8 0 1/4 1 11/4 1/4 27/16 3/4 0
0 0 2/7 3/7 0 3/14 15/14 37/14 3/14 15/7 2 0
0 0 3/11 4/11 0 2/11 10/11 26/11 2/11 17/11 14/11 0
0 0 1/4 1/4 0 1/8 5/8 15/8 1/8 19/16 5/8 0
0 0 1/4 1/4 0 1/8 3/4 9/4 1/8 21/16 1/2 0
0 0 1/8 1/2 0 1/4 9/8 25/8 1/4 29/16 5/8 0
0 0 1/4 3/8 0 1/8 7/8 21/8 1/8 23/16 3/8 0
0 0 1/8 5/8 1/8 0 11/8 11/4 1 5/2 19/8 0
0 0 1/8 1/2 1/8 0 9/8 19/8 7/8 2 15/8 0
0 0 1/8 3/8 1/8 0 7/8 2 3/4 27/16 3/2 0
0 0 1/8 5/8 1/8 0 11/8 11/4 17/16 9/4 17/8 0
0 0 1/10 2/5 1/10 0 6/5 27/10 3/5 23/10 21/10 0
0 0 1/9 1/3 1/9 0 1 7/3 5/9 16/9 14/9 0
0 0 1/8 1/4 1/8 0 3/4 15/8 1/2 23/16 9/8 0
0 0 1/8 1/4 1/8 0 7/8 9/4 1/2 25/16 1 0
0 0 1/12 7/12 1/12 0 17/12 10/3 5/12 8/3 7/3 0
0 0 1/10 1/2 1/10 0 6/5 29/10 2/5 2 8/5 0
0 0 1/8 3/8 1/8 0 7/8 9/4 3/8 25/16 1 0
0 0 1/8 3/8 1/8 0 1 21/8 3/8 27/16 7/8 0
0 0 1/8 1/2 1/8 0 9/8 3 3/8 29/16 3/4 0
