0 0 0 7/10 1 7/10 4/5 13/10 17/10 23/10 57/20 0
0 0 0 2/3 8/9 2/3 7/9 7/6 5/3 41/18 8/3 0
0 0 0 9/11 25/22 9/11 10/11 95/66 21/11 26/11 67/22 0
0 0 0 7/11 9/11 8/11 9/11 14/11 20/11 59/22 32/11 0
0 0 0 1/2 1 5/8 3/4 9/8 3/2 2 5/2 0
0 0 0 4/9 8/9 2/3 7/9 1 14/9 19/9 22/9 0
0 0 0 5/8 19/16 3/4 7/8 21/16 7/4 17/8 11/4 0
0 0 0 3/8 3/4 5/8 3/4 1 3/2 9/4 19/8 0
0 0 0 1/3 1 5/9 2/3 10/9 4/3 2 43/18 0
0 0 0 1/4 7/8 9/16 11/16 1 11/8 2 9/4 0
0 0 0 1/4 3/4 9/16 11/16 1 11/8 17/8 9/4 0
0 0 0 1/4 1 31/48 37/48 9/8 37/24 17/8 19/8 0
0 0 0 1/4 7/8 31/48 37/48 9/8 37/24 9/4 19/8 0
0 0 0 4/5 1 7/10 9/10 6/5 3/2 39/20 49/20 0
0 0 0 3/4 7/8 11/16 7/8 17/16 3/2 2 37/16 0
0 0 0 9/10 23/20 17/20 1 83/60 9/5 21/10 14/5 0
0 0 0 2/3 7/9 13/18 8/9 10/9 14/9 20/9 43/18 0
0 0 0 2/3 1 2/3 8/9 10/9 13/9 11/6 7/3 0
0 0 0 5/9 8/9 13/18 8/9 1 14/9 37/18 43/18 0
0 0 0 3/4 19/16 13/16 1 21/16 7/4 2 43/16 0
0 0 0 1/2 3/4 11/16 7/8 1 3/2 35/16 37/16 0
0 0 0 6/11 12/11 7/11 19/22 13/11 15/11 43/22 51/22 0
0 0 0 4/9 1 2/3 8/9 10/9 13/9 37/18 41/18 0
0 0 0 4/9 8/9 2/3 8/9 10/9 13/9 13/6 41/18 0
0 0 0 3/8 9/8 37/48 23/24 5/4 5/3 9/4 5/2 0
0 0 0 3/8 1 37/48 23/24 5/4 5/3 19/8 5/2 0
0 0 0 7/8 1 2/3 1 19/16 3/2 7/4 17/8 0
0 0 0 7/8 1 35/48 1 19/16 13/8 2 37/16 0
0 0 0 8/9 19/18 41/54 1 34/27 5/3 11/6 43/18 0
0 0 0 7/9 8/9 41/54 1 11/9 5/3 20/9 43/18 0
0 0 0 3/4 1 2/3 1 9/8 3/2 27/16 17/8 0
0 0 0 2/3 1 41/54 1 10/9 5/3 37/18 43/18 0
0 0 0 3/4 17/16 35/48 1 19/16 13/8 7/4 37/16 0
0 0 0 5/8 7/8 35/48 1 9/8 13/8 35/16 37/16 0
0 0 0 3/4 9/8 2/3 17/16 5/4 3/2 29/16 17/8 0
0 0 0 5/8 9/8 35/48 17/16 5/4 13/8 33/16 37/16 0
0 0 0 5/8 1 35/48 17/16 5/4 13/8 35/16 37/16 0
0 0 0 1/2 9/8 3/4 49/48 5/4 5/3 17/8 19/8 0
0 0 0 1/2 1 3/4 49/48 5/4 5/3 9/4 19/8 0
0 0 0 6/13 12/13 10/13 7/13 16/13 22/13 32/13 40/13 0
0 0 0 5/12 5/6 19/24 1/2 9/8 7/4 21/8 37/12 0
0 0 0 8/15 31/30 38/45 3/5 119/90 82/45 37/15 143/45 0
0 0 0 3/7 5/7 23/28 4/7 17/14 13/7 83/28 45/14 0
0 0 0 3/10 1 7/10 1/2 11/10 3/2 11/5 11/4 0
0 0 0 3/11 10/11 17/22 6/11 1 18/11 27/11 31/11 0
0 0 0 4/11 25/22 26/33 6/11 27/22 5/3 25/11 193/66 0
0 0 0 2/9 7/9 13/18 5/9 1 14/9 23/9 8/3 0
0 0 0 1/5 1 3/5 1/2 11/10 13/10 21/10 5/2 0
0 0 0 1/8 7/8 5/8 9/16 1 11/8 17/8 19/8 0
0 0 0 1/8 3/4 5/8 9/16 1 11/8 9/4 19/8 0
0 0 0 1/8 1 17/24 31/48 9/8 37/24 9/4 5/2 0
0 0 0 1/8 7/8 17/24 31/48 9/8 37/24 19/8 5/2 0
