0 0 0 6/7 3/7 19/28 1 57/28 13/7 131/56 53/14 0
0 0 0 9/11 4/11 13/22 1 21/11 21/11 49/22 81/22 0
0 0 0 4/5 3/10 1/2 1 19/10 19/10 9/4 18/5 0
0 0 0 5/6 5/12 2/3 1 23/12 25/12 53/24 31/8 0
0 0 0 3/4 5/12 17/24 13/12 53/24 15/8 19/8 95/24 0
0 0 0 10/13 5/13 17/26 31/26 30/13 55/26 32/13 109/26 0
0 0 0 4/5 3/10 1/2 23/20 11/5 41/20 12/5 39/10 0
0 0 0 13/18 4/9 7/9 5/4 22/9 89/36 23/9 169/36 0
0 0 0 2/3 5/12 3/4 7/6 55/24 2 61/24 49/12 0
0 0 0 2/3 5/12 3/4 31/24 29/12 9/4 8/3 13/3 0
0 0 0 8/11 4/11 7/11 27/22 25/11 47/22 28/11 4 0
0 0 0 8/13 6/13 11/13 35/26 33/13 32/13 36/13 60/13 0
0 0 0 12/13 11/26 53/78 14/13 55/26 22/13 121/52 48/13 0
0 0 0 11/13 11/26 28/39 15/13 59/26 47/26 63/26 103/26 0
0 0 0 10/13 11/26 59/78 16/13 61/26 25/13 67/26 53/13 0
0 0 0 12/13 7/13 32/39 46/39 2 55/26 395/156 4 0
0 0 0 11/12 1/2 55/72 43/36 2 13/6 181/72 97/24 0
0 0 0 10/11 5/11 23/33 40/33 2 24/11 169/66 4 0
0 0 0 12/13 7/13 32/39 46/39 2 30/13 193/78 109/26 0
0 0 0 12/13 1/2 10/13 46/39 2 49/26 29/12 49/13 0
0 0 0 2/3 7/9 2/3 7/9 5/3 5/3 35/18 29/9 0
0 0 0 5/9 2/3 4/9 2/3 4/3 14/9 14/9 25/9 0
0 0 0 1/2 3/5 3/10 3/5 6/5 7/5 7/5 12/5 0
0 0 0 5/8 3/4 5/8 3/4 3/2 2 7/4 27/8 0
0 0 0 1/2 3/4 5/8 3/4 13/8 3/2 7/4 3 0
0 0 0 5/11 8/11 1/2 17/22 17/11 37/22 18/11 3 0
0 0 0 5/11 7/11 7/22 15/22 15/11 3/2 16/11 28/11 0
0 0 0 5/12 5/6 17/24 7/8 7/4 13/6 11/6 11/3 0
0 0 0 3/8 3/4 5/8 3/4 25/16 3/2 7/4 23/8 0
0 0 0 1/3 7/9 11/18 5/6 29/18 31/18 16/9 3 0
0 0 0 2/5 7/10 9/20 3/4 29/20 31/20 8/5 13/5 0
0 0 0 1/4 7/8 13/16 15/16 29/16 17/8 2 7/2 0
0 0 0 3/4 13/16 11/16 7/8 7/4 3/2 31/16 25/8 0
0 0 0 5/8 13/16 11/16 7/8 7/4 3/2 15/8 25/8 0
0 0 0 1/2 13/16 11/16 7/8 27/16 3/2 15/8 3 0
0 0 0 3/4 1 7/8 1 13/8 2 35/16 7/2 0
0 0 0 2/3 8/9 2/3 8/9 13/9 17/9 17/9 29/9 0
0 0 0 3/5 4/5 1/2 4/5 13/10 17/10 17/10 14/5 0
0 0 0 3/4 1 7/8 1 13/8 19/8 17/8 31/8 0
0 0 0 3/4 15/16 13/16 1 13/8 7/4 33/16 13/4 0
0 0 0 5/12 11/12 2/3 1/2 5/4 3/2 3/2 21/8 0
0 0 0 3/10 9/10 11/20 2/5 9/10 7/5 23/20 43/20 0
0 0 0 2/9 8/9 4/9 1/3 13/18 23/18 1 16/9 0
0 0 0 4/11 10/11 7/11 5/11 23/22 37/22 14/11 57/22 0
0 0 0 3/10 9/10 13/20 1/2 13/10 7/5 7/5 51/20 0
0 0 0 1/5 9/10 11/20 9/20 1 27/20 11/10 43/20 0
0 0 0 1/8 7/8 3/8 5/16 11/16 9/8 13/16 3/2 0
0 0 0 3/13 12/13 9/13 15/26 33/26 47/26 35/26 75/26 0
0 0 0 2/9 8/9 2/3 5/9 4/3 13/9 3/2 23/9 0
0 0 0 1/8 7/8 5/8 9/16 9/8 23/16 21/16 9/4 0
0 0 0 1/8 7/8 1/2 7/16 7/8 5/4 17/16 7/4 0
0 0 0 1/8 7/8 3/4 11/16 11/8 7/4 25/16 11/4 0
0 0 0 5/8 9/8 15/16 7/8 11/8 2 2 13/4 0
0 0 0 1/2 9/8 13/16 3/4 9/8 15/8 27/16 23/8 0
0 0 0 3/8 9/8 11/16 5/8 7/8 27/16 23/16 19/8 0
0 0 0 5/8 9/8 15/16 7/8 11/8 9/4 31/16 7/2 0
0 0 0 1/5 1 31/60 3/10 3/5 17/15 3/4 31/20 0
0 0 0 1/8 1 5/12 1/4 7/16 49/48 5/8 7/6 0
0 0 0 1/4 1 7/12 1/3 17/24 101/72 5/6 47/24 0
0 0 0 1/6 1 5/9 19/48 19/24 89/72 7/8 43/24 0
0 0 0 1/9 1 23/54 11/36 5/9 29/27 2/3 34/27 0
0 0 0 3/16 1 21/32 31/64 1 155/96 17/16 77/32 0
0 0 0 1/8 1 11/16 19/32 17/16 23/16 5/4 17/8 0
0 0 0 1/8 1 9/16 15/32 13/16 5/4 1 13/8 0
0 0 0 1/8 1 13/16 23/32 21/16 7/4 3/2 21/8 0
0 0 0 1/3 10/9 37/54 5/9 7/9 40/27 7/6 19/9 0
0 0 0 1/4 9/8 29/48 1/2 5/8 67/48 17/16 43/24 0
0 0 0 2/5 11/10 3/4 3/5 9/10 26/15 5/4 5/2 0
0 0 0 1/8 1 43/96 1/4 7/16 23/24 5/8 25/24 0
0 0 0 1/8 1 43/96 9/32 1/2 23/24 5/8 25/24 0
0 0 0 1/8 1 17/32 13/32 11/16 9/8 7/8 11/8 0
0 0 0 1/4 9/8 61/96 1/2 5/8 4/3 17/16 5/3 0
