0 0 3/13 3/13 27/26 0 5/13 18/13 23/13 10/13 17/13 0
0 0 2/7 2/7 33/28 0 5/14 9/7 2 13/14 19/14 0
0 0 2/7 2/7 33/28 0 5/7 9/7 23/14 13/14 19/14 0
0 0 7/19 6/19 25/19 0 12/19 23/19 35/19 1 49/38 0
0 0 2/11 2/11 10/11 0 4/11 15/11 19/11 6/11 12/11 0
0 0 1/4 1/4 13/12 0 1/3 5/4 2 3/4 7/6 0
0 0 1/4 1/4 13/12 0 3/4 5/4 19/12 3/4 7/6 0
0 0 7/23 9/23 53/46 0 15/23 29/23 44/23 24/23 49/46 0
0 0 3/7 3/14 8/7 0 1/2 3/2 12/7 5/7 9/7 0
0 0 8/17 4/17 21/17 0 13/17 22/17 26/17 13/17 21/17 0
0 0 7/16 5/16 5/4 0 11/16 5/4 13/8 1 39/32 0
0 0 4/11 2/11 1 0 5/11 17/11 19/11 6/11 12/11 0
0 0 3/7 3/14 8/7 0 11/14 9/7 3/2 9/14 15/14 0
0 0 7/17 6/17 37/34 0 12/17 21/17 27/17 16/17 33/34 0
0 0 3/7 3/14 8/7 0 3/14 3/2 2 5/7 9/7 0
0 0 8/17 4/17 21/17 0 4/17 22/17 35/17 13/17 21/17 0
0 0 7/16 5/16 5/4 0 3/8 5/4 31/16 1 39/32 0
0 0 4/11 2/11 1 0 2/11 17/11 2 6/11 12/11 0
0 0 3/7 3/14 8/7 0 3/14 9/7 29/14 9/14 15/14 0
0 0 7/17 6/17 37/34 0 6/17 21/17 33/17 16/17 33/34 0
0 0 17/24 7/48 55/48 0 7/24 31/24 19/12 1/2 25/24 0
0 0 2/3 7/36 10/9 0 7/36 43/36 59/36 2/3 19/18 0
0 0 2/3 7/36 10/9 0 4/9 43/36 25/18 2/3 19/18 0
0 0 13/20 3/10 11/10 0 13/40 23/20 59/40 9/10 39/40 0
0 0 4/7 1/7 15/14 0 2/7 11/7 13/7 3/7 1 0
0 0 6/11 2/11 1 0 2/11 15/11 20/11 6/11 10/11 0
0 0 6/11 2/11 1 0 5/11 15/11 17/11 6/11 10/11 0
0 0 9/16 5/16 31/32 0 3/8 19/16 25/16 13/16 25/32 0
0 0 3/14 3/7 29/28 0 2/7 31/14 2 8/7 3/2 0
0 0 1/5 11/20 1 0 9/20 41/20 17/10 27/20 27/20 0
0 0 1/14 9/14 25/28 0 5/14 27/14 23/14 23/14 9/7 0
0 0 2/11 4/11 10/11 0 3/11 24/11 2 10/11 14/11 0
0 0 3/16 1/2 15/16 0 1/2 2 27/16 19/16 19/16 0
0 0 1/14 9/14 11/14 0 3/7 13/7 23/14 3/2 15/14 0
0 0 1/2 7/20 41/40 0 7/40 19/10 69/40 19/20 5/4 0
0 0 5/11 1/2 21/22 0 9/44 21/11 69/44 27/22 53/44 0
0 0 7/17 10/17 29/34 0 1/17 30/17 26/17 25/17 37/34 0
0 0 1/3 1/3 11/12 0 1/6 13/6 2 5/6 7/6 0
0 0 4/13 6/13 11/13 0 3/13 27/13 23/13 14/13 14/13 0
0 0 1/4 7/12 2/3 0 1/12 11/6 5/3 4/3 11/12 0
0 0 3/14 3/7 29/28 3/14 0 2 16/7 8/7 3/2 0
0 0 1/5 11/20 1 7/20 0 17/10 43/20 27/20 27/20 0
0 0 1/14 9/14 25/28 2/7 0 23/14 2 23/14 9/7 0
0 0 2/11 4/11 10/11 2/11 0 2 25/11 10/11 14/11 0
0 0 3/16 1/2 15/16 5/16 0 27/16 35/16 19/16 19/16 0
0 0 1/14 9/14 11/14 3/14 0 23/14 29/14 3/2 15/14 0
0 0 1/2 7/20 41/40 7/40 0 69/40 19/10 19/20 5/4 0
0 0 5/11 1/2 21/22 15/44 0 69/44 39/22 27/22 53/44 0
0 0 7/17 10/17 29/34 4/17 0 26/17 27/17 25/17 37/34 0
0 0 1/3 1/3 11/12 1/6 0 2 13/6 5/6 7/6 0
0 0 4/13 6/13 11/13 4/13 0 23/13 2 14/13 14/13 0
0 0 1/4 7/12 2/3 1/6 0 5/3 7/4 4/3 11/12 0
0 0 7/24 29/48 5/6 5/16 0 103/48 11/6 17/12 67/48 0
0 0 1/4 7/10 31/40 21/40 0 9/5 33/20 33/20 13/10 0
0 0 1/4 7/10 31/40 3/20 0 87/40 33/20 33/20 13/10 0
0 0 7/23 17/23 17/23 7/23 0 41/23 34/23 39/23 51/46 0
0 0 2/15 3/5 11/15 1/3 0 37/15 32/15 4/3 4/3 0
0 0 1/12 2/3 2/3 1/2 0 25/12 23/12 3/2 7/6 0
0 0 1/12 2/3 2/3 1/6 0 29/12 23/12 3/2 7/6 0
0 0 2/15 11/15 3/5 4/15 0 2 26/15 8/5 1 0
