0 0 3/11 0 5/11 6/11 5/11 10/11 10/11 13/11 2 0
0 0 4/11 0 5/11 8/11 5/11 13/11 1 14/11 24/11 0
0 0 4/11 0 5/11 8/11 5/11 14/11 10/11 14/11 2 0
0 0 4/11 0 5/11 8/11 8/11 10/11 1 14/11 24/11 0
0 0 3/7 0 1/2 6/7 11/14 9/7 8/7 19/14 17/7 0
0 0 5/12 0 1/2 5/6 2/3 17/12 1 4/3 13/6 0
0 0 4/11 0 5/11 8/11 9/11 10/11 10/11 14/11 2 0
0 0 5/12 0 1/2 5/6 11/12 7/6 1 4/3 13/6 0
0 0 3/7 0 1/2 6/7 11/14 9/7 13/14 19/14 2 0
0 0 1/4 0 2/3 3/4 7/12 11/12 25/24 17/12 7/3 0
0 0 2/7 0 9/14 6/7 6/7 13/14 33/28 3/2 18/7 0
0 0 2/7 0 9/14 6/7 27/28 13/14 15/14 3/2 33/14 0
0 0 1/4 0 2/3 3/4 1/4 5/4 25/24 17/12 7/3 0
0 0 2/7 0 9/14 6/7 2/7 3/2 33/28 3/2 18/7 0
0 0 2/7 0 9/14 6/7 2/7 45/28 15/14 3/2 33/14 0
0 0 3/17 0 14/17 27/34 6/17 20/17 73/68 25/17 41/17 0
