0 0 0 1/3 1/3 5/9 5/9 1 1 17/9 0
0 0 0 2/5 2/5 1/2 4/5 11/10 1 2 0
0 0 0 2/5 2/5 1/2 9/10 1 1 9/5 0
0 0 0 2/5 2/5 4/5 1/2 11/10 1 2 0
0 0 0 6/13 6/13 11/13 11/13 16/13 1 28/13 0
0 0 0 5/11 5/11 8/11 1 12/11 1 21/11 0
0 0 0 2/5 2/5 9/10 1/2 1 1 9/5 0
0 0 0 5/11 5/11 1 8/11 12/11 1 21/11 0
0 0 0 6/13 6/13 11/13 11/13 1 1 22/13 0
0 0 5/8 0 3/8 1/4 7/8 11/16 7/8 3/2 0
0 0 5/7 0 4/7 1/7 8/7 9/14 6/7 10/7 0
0 0 5/7 0 4/7 1/7 17/14 4/7 6/7 9/7 0
0 0 5/7 0 4/7 3/7 6/7 9/14 6/7 10/7 0
0 0 7/8 0 3/4 3/8 5/4 11/16 7/8 3/2 0
0 0 6/7 0 5/7 2/7 19/14 4/7 6/7 9/7 0
0 0 5/7 0 4/7 1/2 6/7 4/7 6/7 9/7 0
0 0 6/7 0 5/7 1/2 8/7 4/7 6/7 9/7 0
0 0 7/8 0 3/4 3/8 5/4 1/2 7/8 9/8 0
