0 0 3/13 4/13 0 14/13 22/13 27/26 30/13 47/13 0
0 0 1/5 3/10 0 6/5 17/10 4/5 2 29/10 0
0 0 1/8 1/4 0 5/4 13/8 13/16 7/4 39/16 0
0 0 1/8 1/4 0 11/8 7/4 41/48 15/8 39/16 0
0 0 4/9 1/3 0 10/9 13/9 1 20/9 31/9 0
0 0 3/8 1/4 0 1 5/4 5/8 13/8 19/8 0
0 0 2/7 1/7 0 6/7 1 1/2 8/7 23/14 0
0 0 2/7 1/7 0 1 8/7 23/42 9/7 23/14 0
0 0 1/7 3/7 0 12/7 2 13/14 2 37/14 0
0 0 1/7 3/7 0 13/7 15/7 41/42 15/7 37/14 0
0 0 2/7 2/7 0 9/7 10/7 9/14 10/7 27/14 0
0 0 2/7 2/7 0 10/7 11/7 29/42 11/7 27/14 0
0 0 1/7 4/7 0 17/7 19/7 25/21 19/7 22/7 0
0 0 2/7 3/7 0 2 15/7 19/21 15/7 17/7 0
0 0 1/7 4/7 0 13/7 12/7 10/7 3 30/7 0
0 0 1/7 3/7 0 11/7 10/7 1 16/7 22/7 0
0 0 1/7 2/7 0 9/7 8/7 11/14 12/7 33/14 0
0 0 1/7 2/7 0 10/7 9/7 5/6 13/7 33/14 0
0 0 1/7 3/7 0 12/7 11/7 13/14 2 37/14 0
0 0 1/7 3/7 0 13/7 12/7 41/42 15/7 37/14 0
0 0 1/7 4/7 0 17/7 16/7 25/21 19/7 22/7 0
