0 0 3/14 0 4/7 6/7 3/7 1 1 25/14 0
0 0 3/11 0 5/11 1 3/11 9/11 15/11 18/11 0
0 0 1/3 0 7/9 41/36 4/9 10/9 35/36 5/3 0
0 0 7/18 0 2/3 11/9 4/9 19/18 5/4 14/9 0
0 0 2/5 0 3/5 4/5 2/5 7/10 4/5 13/10 0
0 0 4/9 0 5/9 1 1/3 2/3 10/9 4/3 0
0 0 7/12 0 11/12 29/24 5/12 11/12 19/24 5/4 0
0 0 4/7 0 11/14 9/7 1/2 1 31/28 19/14 0
0 0 2/5 0 3/10 4/5 2/5 1 4/5 8/5 0
0 0 5/11 0 3/11 1 3/11 10/11 13/11 17/11 0
0 0 6/11 0 5/11 25/22 5/11 27/22 17/22 18/11 0
0 0 8/15 0 2/5 6/5 7/15 7/6 7/6 8/5 0
0 0 3/5 0 2/5 4/5 2/5 4/5 7/10 13/10 0
0 0 2/3 0 1/3 1 5/12 5/6 1 4/3 0
0 0 7/9 0 2/3 7/6 1/3 1 11/18 11/9 0
0 0 5/7 0 1/2 17/14 1/2 15/14 29/28 19/14 0
0 0 1/8 0 3/8 5/8 7/8 5/4 3/4 15/8 0
0 0 2/11 0 5/11 10/11 1 31/22 9/11 20/11 0
0 0 1/7 0 2/7 1 9/7 3/2 8/7 12/7 0
0 0 2/7 0 3/7 4/7 5/7 6/7 4/7 9/7 0
0 0 1/3 0 5/9 8/9 8/9 10/9 2/3 4/3 0
0 0 2/7 0 3/7 1 8/7 9/7 1 10/7 0
0 0 2/7 0 1/7 4/7 5/7 8/7 4/7 11/7 0
0 0 1/3 0 2/9 8/9 8/9 25/18 2/3 5/3 0
0 0 2/7 0 1/7 1 8/7 3/2 1 12/7 0
0 0 5/9 0 2/9 2/3 2/3 8/9 4/9 11/9 0
0 0 5/7 0 1/7 6/7 5/7 6/7 4/7 8/7 0
0 0 5/9 0 1/3 8/9 7/9 10/9 4/9 11/9 0
0 0 5/9 0 2/9 1 1 11/9 7/9 4/3 0
0 0 1/9 0 4/9 5/9 2/3 4/9 8/9 11/9 0
0 0 1/9 0 1/3 2/3 7/9 4/9 10/9 11/9 0
0 0 1/7 0 5/7 6/7 5/7 4/7 6/7 8/7 0
0 0 1/9 0 4/9 8/9 1 7/9 11/9 4/3 0
0 0 2/7 0 1/7 3/7 5/7 4/7 6/7 9/7 0
0 0 1/3 0 1/9 2/3 8/9 2/3 10/9 4/3 0
0 0 2/7 0 1/7 6/7 8/7 1 9/7 10/7 0
0 0 1/9 0 1/3 5/9 1 2/3 7/9 4/3 0
0 0 1/7 0 2/7 5/7 8/7 4/7 1 9/7 0
0 0 1/9 0 4/9 7/9 10/9 8/9 7/9 4/3 0
0 0 1/9 0 1/3 8/9 4/3 1 10/9 13/9 0
0 0 1/3 0 1/9 5/9 1 7/9 2/3 4/3 0
0 0 4/9 0 1/9 7/9 10/9 7/9 8/9 4/3 0
0 0 2/7 0 1/7 5/7 8/7 1 4/7 9/7 0
0 0 1/3 0 1/9 8/9 4/3 10/9 1 13/9 0
0 0 1/9 2/9 0 5/9 4/9 8/9 8/9 5/3 0
0 0 2/11 3/11 0 7/11 3/11 8/11 12/11 15/11 0
0 0 1/7 1/7 0 6/7 4/7 17/14 6/7 13/7 0
0 0 2/11 2/11 0 9/11 6/11 23/22 13/11 17/11 0
0 0 2/7 1/7 0 3/7 4/7 5/7 6/7 10/7 0
0 0 2/5 1/5 0 3/5 1/2 7/10 1 6/5 0
0 0 3/8 1/8 0 3/4 3/4 1 9/8 5/4 0
0 0 1/10 2/5 0 1/2 7/10 1 4/5 8/5 0
0 0 1/8 5/8 0 1/2 1/2 3/4 7/8 5/4 0
0 0 1/11 4/11 0 8/11 1 29/22 9/11 19/11 0
0 0 1/11 5/11 0 8/11 1 27/22 1 17/11 0
0 0 3/10 3/10 0 1/2 4/5 9/10 7/10 7/5 0
0 0 2/5 2/5 0 3/5 7/10 4/5 4/5 6/5 0
0 0 2/9 1/3 0 2/3 10/9 11/9 2/3 13/9 0
0 0 3/11 4/11 0 8/11 12/11 13/11 10/11 15/11 0
0 0 1/7 1/7 0 2/7 5/7 4/7 1 10/7 0
0 0 1/5 1/5 0 1/2 4/5 3/5 6/5 13/10 0
0 0 1/7 1/7 0 5/7 8/7 1 10/7 10/7 0
0 0 2/13 5/13 0 6/13 14/13 10/13 11/13 19/13 0
0 0 3/14 3/7 0 4/7 15/14 5/7 1 19/14 0
0 0 1/10 2/5 0 7/10 7/5 6/5 4/5 8/5 0
0 0 2/13 5/13 0 10/13 18/13 15/13 14/13 20/13 0
