0 0 5/13 0 8/13 1 12/13 1 35/26 27/13 0
0 0 5/13 0 5/13 1 25/26 15/13 22/13 27/13 0
0 0 1/3 0 1/3 10/9 2/3 5/9 4/3 16/9 0
0 0 1/3 0 2/9 10/9 2/3 2/3 13/9 5/3 0
0 0 1/7 0 4/7 8/7 5/7 5/7 9/7 11/7 0
0 0 2/9 0 1/3 11/9 13/18 13/18 13/9 14/9 0
0 0 2/9 0 2/9 10/9 2/3 1/3 25/18 16/9 0
0 0 1/7 0 1/7 1 9/14 3/7 3/2 23/14 0
0 0 1/9 0 1/3 11/9 19/27 4/9 25/18 5/3 0
0 0 1/9 0 2/9 11/9 19/27 1/2 3/2 29/18 0
0 0 7/10 0 2/5 8/5 11/10 9/10 7/5 12/5 0
0 0 5/7 0 1/7 11/7 1 1 10/7 15/7 0
0 0 5/9 0 2/9 13/9 7/9 5/9 11/9 17/9 0
0 0 4/7 0 1/7 10/7 5/7 5/7 9/7 12/7 0
0 0 4/9 0 1/3 5/3 8/9 2/3 4/3 17/9 0
0 0 4/9 0 2/9 5/3 5/6 13/18 13/9 16/9 0
0 0 3/7 0 1/7 10/7 11/14 2/7 9/7 27/14 0
0 0 1/3 0 2/9 5/3 47/54 4/9 13/9 35/18 0
0 0 2/7 0 1/7 12/7 5/6 1/2 11/7 13/7 0
0 0 5/7 1/7 0 10/7 1 5/7 11/7 17/7 0
0 0 7/10 1/5 0 7/5 11/10 1 9/5 23/10 0
0 0 4/7 1/7 0 9/7 5/7 3/7 10/7 2 0
0 0 5/9 2/9 0 11/9 7/9 2/3 13/9 16/9 0
0 0 3/7 1/7 0 9/7 11/14 9/14 10/7 11/7 0
0 0 4/9 2/9 0 4/3 7/9 1/3 3/2 2 0
0 0 4/9 1/3 0 11/9 5/6 5/9 3/2 11/6 0
0 0 2/7 1/7 0 10/7 16/21 2/7 3/2 13/7 0
0 0 1/3 2/9 0 4/3 22/27 1/2 3/2 31/18 0
0 0 8/9 2/9 0 5/3 10/9 7/9 4/3 7/3 0
0 0 8/9 1/3 0 14/9 10/9 1 4/3 19/9 0
0 0 7/9 2/9 0 14/9 8/9 5/9 11/9 2 0
0 0 7/9 1/3 0 13/9 8/9 7/9 11/9 16/9 0
0 0 5/7 1/7 0 13/7 1 4/7 9/7 2 0
0 0 2/3 2/9 0 5/3 17/18 13/18 4/3 16/9 0
0 0 2/3 1/3 0 14/9 17/18 4/9 4/3 37/18 0
0 0 5/7 4/7 0 10/7 1 5/7 9/7 13/7 0
0 0 5/9 2/9 0 16/9 53/54 4/9 13/9 37/18 0
0 0 5/9 1/3 0 5/3 53/54 11/18 13/9 17/9 0
