0 0 0 3/11 6/11 3/11 12/11 9/11 13/11 2 0
0 0 0 2/9 4/9 2/9 1 8/9 4/3 17/9 0
0 0 0 2/9 2/3 2/9 1 2/3 4/3 17/9 0
0 0 0 1/3 2/3 1/6 13/12 5/6 19/12 23/12 0
0 0 0 4/9 5/9 1/3 1 2/3 8/9 5/3 0
0 0 0 4/9 2/3 2/9 8/9 4/9 1 13/9 0
0 0 0 5/9 2/3 2/9 1 2/3 4/3 14/9 0
0 0 0 4/9 1/3 1/3 1 8/9 8/9 5/3 0
0 0 0 4/9 2/9 2/9 8/9 8/9 1 13/9 0
0 0 0 5/9 4/9 2/9 1 8/9 4/3 14/9 0
0 0 0 2/3 3/8 5/12 1 19/24 17/24 17/12 0
0 0 0 2/3 5/18 1/3 8/9 5/6 5/6 11/9 0
0 0 0 2/3 1/2 1/3 8/9 11/18 5/6 11/9 0
0 0 0 8/11 1/2 3/11 1 17/22 25/22 15/11 0
