0 0 1/5 0 3/10 7/10 6/5 4/5 3/2 17/10 0
0 0 2/7 0 5/14 11/14 23/14 25/28 13/7 23/14 0
0 0 1/8 0 1/4 3/4 9/8 7/8 5/4 13/8 0
0 0 1/8 0 1/4 5/8 1 1 9/8 2 0
0 0 3/8 0 1/4 5/8 7/8 5/8 5/4 11/8 0
0 0 4/9 0 1/3 7/9 10/9 7/9 14/9 13/9 0
0 0 2/7 0 1/7 4/7 5/7 4/7 6/7 8/7 0
0 0 2/7 0 1/7 3/7 4/7 5/7 5/7 11/7 0
0 0 1/7 0 3/7 9/7 11/7 1 11/7 12/7 0
0 0 1/7 0 3/7 8/7 10/7 8/7 10/7 15/7 0
0 0 2/7 0 2/7 1 8/7 5/7 8/7 9/7 0
0 0 2/7 0 2/7 6/7 1 6/7 1 12/7 0
0 0 1/7 0 3/7 1 6/7 1 12/7 13/7 0
0 0 1/7 0 4/7 9/7 8/7 9/7 31/14 15/7 0
0 0 1/7 0 2/7 6/7 5/7 6/7 9/7 11/7 0
0 0 1/7 0 2/7 5/7 4/7 1 8/7 2 0
0 0 1/7 0 3/7 9/7 8/7 1 11/7 12/7 0
0 0 1/7 0 3/7 8/7 1 8/7 10/7 15/7 0
