0 0 7/8 0 25/16 35/48 1 3/8 31/16 13/8 0
0 0 3/4 0 25/16 11/16 7/8 3/8 31/16 3/2 0
0 0 6/7 0 17/14 13/21 1 2/7 12/7 10/7 0
0 0 5/7 0 17/14 4/7 6/7 2/7 12/7 9/7 0
0 0 6/7 0 17/14 13/21 1 1/2 3/2 10/7 0
0 0 5/7 0 17/14 4/7 6/7 1/2 3/2 9/7 0
0 0 6/7 0 15/14 23/42 1 5/14 10/7 9/7 0
0 0 3/4 0 17/16 1/2 7/8 3/8 23/16 9/8 0
0 0 5/7 0 3/2 13/21 13/14 5/14 23/14 10/7 0
0 0 4/7 0 3/2 4/7 11/14 5/14 23/14 9/7 0
0 0 5/7 0 17/14 23/42 13/14 3/7 19/14 9/7 0
0 0 4/7 0 17/14 1/2 11/14 3/7 19/14 8/7 0
0 0 5/7 0 3/2 13/21 13/14 1/7 13/7 10/7 0
0 0 4/7 0 3/2 4/7 11/14 1/7 13/7 9/7 0
0 0 5/7 0 17/14 23/42 13/14 1/7 23/14 9/7 0
0 0 4/7 0 17/14 1/2 11/14 1/7 23/14 8/7 0
0 0 1/2 0 21/16 25/48 19/24 3/16 3/2 29/24 0
0 0 3/8 0 21/16 23/48 2/3 3/16 3/2 13/12 0
