0 0 0 1/8 3/8 5/8 11/16 5/8 1 5/4 0
0 0 0 1/7 2/7 4/7 6/7 9/14 8/7 9/7 0
0 0 0 1/7 4/7 4/7 6/7 9/14 6/7 9/7 0
0 0 0 2/9 5/9 4/9 10/9 13/18 1 4/3 0
0 0 0 2/7 3/7 5/7 1/2 4/7 6/7 1 0
0 0 0 3/8 5/8 3/4 3/4 11/16 7/8 9/8 0
0 0 0 3/7 4/7 4/7 6/7 9/14 6/7 1 0
0 0 0 2/7 1/7 5/7 1/2 4/7 8/7 1 0
0 0 0 3/8 1/8 3/4 3/4 11/16 11/8 9/8 0
0 0 0 3/7 2/7 4/7 6/7 9/14 8/7 1 0
0 0 0 5/9 2/9 1 7/18 2/3 11/9 8/9 0
0 0 0 4/7 1/7 6/7 4/7 9/14 9/7 6/7 0
0 0 0 4/7 3/7 6/7 4/7 9/14 1 6/7 0
0 0 0 5/8 3/8 3/4 3/4 11/16 9/8 7/8 0
