0 0 0 1/10 9/10 21/40 7/30 19/40 23/20 9/10 0
0 0 0 1/9 8/9 4/9 11/54 47/108 7/6 22/27 0
0 0 0 1/8 7/8 11/24 1/6 37/96 19/16 17/24 0
0 0 0 1/7 6/7 53/84 10/21 10/21 8/7 43/42 0
0 0 0 1/7 6/7 11/21 17/42 17/42 8/7 37/42 0
0 0 0 1/7 6/7 11/21 1/3 1/3 8/7 31/42 0
0 0 0 1/7 6/7 59/84 13/21 23/42 8/7 23/21 0
0 0 0 1/7 6/7 25/42 23/42 10/21 8/7 20/21 0
0 0 0 2/9 8/9 37/54 16/27 13/27 23/18 23/27 0
0 0 0 1/7 1 83/168 5/42 19/56 67/84 33/56 0
0 0 0 1/9 8/9 1/3 5/54 29/108 5/6 13/27 0
0 0 0 1/7 6/7 8/21 1/21 19/84 13/14 8/21 0
0 0 0 2/11 1 73/132 8/33 1/3 26/33 85/132 0
0 0 0 1/8 7/8 19/48 11/48 11/48 13/16 25/48 0
0 0 0 1/7 6/7 19/42 4/21 4/21 13/14 19/42 0
0 0 0 3/11 1 85/132 14/33 31/66 5/6 25/33 0
0 0 0 2/9 8/9 14/27 23/54 10/27 5/6 17/27 0
0 0 0 1/3 8/9 17/27 13/27 23/54 19/18 17/27 0
0 0 2/5 0 19/15 13/12 46/45 133/180 43/30 139/90 0
0 0 3/11 0 1 8/11 47/66 71/132 27/22 37/33 0
0 0 2/9 0 1 20/27 16/27 49/108 23/18 26/27 0
0 0 5/11 0 14/11 161/132 43/33 25/33 16/11 56/33 0
0 0 1/3 0 1 23/27 53/54 29/54 11/9 67/54 0
0 0 1/4 0 1 5/6 19/24 5/12 5/4 49/48 0
0 0 2/5 0 6/5 143/120 4/3 47/60 7/5 5/3 0
0 0 1/3 0 1 49/54 59/54 16/27 11/9 35/27 0
0 0 2/9 0 1 49/54 25/27 13/27 23/18 29/27 0
0 0 5/17 0 22/17 191/204 38/51 109/204 115/102 233/204 0
0 0 1/5 0 11/10 3/5 29/60 41/120 19/20 11/15 0
0 0 1/7 0 8/7 2/3 1/3 19/84 15/14 11/21 0
0 0 4/13 0 17/13 157/156 35/39 20/39 44/39 187/156 0
0 0 2/9 0 10/9 37/54 35/54 17/54 17/18 43/54 0
0 0 1/7 0 8/7 31/42 10/21 4/21 15/14 25/42 0
0 0 3/11 0 14/11 133/132 32/33 37/66 73/66 40/33 0
0 0 2/9 0 10/9 20/27 41/54 10/27 17/18 23/27 0
0 0 1/7 0 8/7 17/21 13/21 11/42 15/14 2/3 0
