0 0 0 4/13 4/13 7/13 1 16/13 2 2 0
0 0 0 2/9 2/9 4/9 10/9 11/9 5/3 16/9 0
0 0 0 1/7 1/7 4/7 8/7 11/7 13/7 13/7 0
0 0 0 2/5 2/5 1/2 4/5 13/10 3/2 17/10 0
0 0 0 1/3 1/3 4/9 8/9 4/3 13/9 5/3 0
0 0 0 2/9 1/3 5/9 1 5/3 5/3 16/9 0
0 0 0 1/3 1/9 2/3 14/9 13/9 17/9 2 0
0 0 0 2/9 1/9 7/9 16/9 17/9 20/9 20/9 0
0 0 0 4/7 1/7 5/7 9/7 11/7 11/7 13/7 0
0 0 0 1/3 2/9 7/9 14/9 2 2 19/9 0
0 0 0 1/7 4/7 2/7 1 5/7 10/7 3/2 0
0 0 0 1/7 3/7 2/7 8/7 6/7 10/7 11/7 0
0 0 0 2/9 2/3 1/3 7/9 8/9 11/9 25/18 0
0 0 0 2/9 5/9 1/3 8/9 1 11/9 13/9 0
0 0 0 1/7 4/7 3/7 6/7 9/7 9/7 10/7 0
0 0 0 2/9 1/3 5/9 5/3 11/9 16/9 17/9 0
0 0 0 1/7 2/7 5/7 2 12/7 15/7 15/7 0
0 0 0 1/3 4/9 5/9 4/3 11/9 13/9 5/3 0
0 0 0 2/9 4/9 2/3 14/9 5/3 16/9 17/9 0
0 0 4/13 0 8/13 3/13 8/13 9/13 22/13 18/13 0
0 0 2/9 0 4/9 2/9 7/9 8/9 13/9 4/3 0
0 0 1/3 0 4/9 1/3 7/9 11/9 14/9 4/3 0
0 0 1/7 0 5/7 1/7 3/7 6/7 9/7 17/14 0
0 0 1/7 0 4/7 1/7 4/7 1 9/7 9/7 0
0 0 2/9 0 5/9 1/3 7/9 13/9 14/9 13/9 0
0 0 1/7 0 2/7 3/7 9/7 1 12/7 11/7 0
0 0 2/9 0 1/3 5/9 13/9 14/9 2 16/9 0
0 0 1/7 0 3/7 4/7 10/7 13/7 2 13/7 0
0 0 2/5 0 4/5 1/10 1/2 2/5 11/10 9/10 0
0 0 1/3 0 2/3 1/9 2/3 5/9 10/9 1 0
0 0 4/7 0 5/7 1/7 3/7 5/7 1 5/7 0
0 0 2/9 0 8/9 1/9 4/9 5/9 1 17/18 0
0 0 2/9 0 7/9 1/9 5/9 2/3 1 1 0
0 0 1/3 0 7/9 2/9 5/9 1 10/9 1 0
0 0 2/9 0 5/9 1/3 11/9 7/9 13/9 4/3 0
0 0 1/3 0 5/9 4/9 4/3 11/9 5/3 13/9 0
0 0 1/7 0 5/7 2/7 1 5/7 8/7 8/7 0
0 0 2/9 0 2/3 4/9 11/9 4/3 14/9 13/9 0
